Year,Geography,GeographyType,Indicator,Drug type,Value,ValueType
2016,Anderson,County,Drug Overdose Deaths Involving All Stimulants, All Stimulants,6,Count
2016,Anderson,County,Drug Overdose Deaths Involving Benzodiazepines, Benzodiazepines,10,Count
2016,Anderson,County,Drug Overdose Deaths Involving Cocaine, Cocaine,0,Count
2016,Anderson,County,Drug Overdose Deaths Involving Fentanyl, Fentanyl,5,Count
2016,Anderson,County,Drug Overdose Deaths Involving Heroin, Heroin,5,Count
2016,Anderson,County,Drug Overdose Deaths Involving Prescription Opioids, Prescription Opioids,18,Count
2016,Anderson,County,Drug Overdose Deaths Involving All Opioids, All Opioids,24,Count
2016,Anderson,County,Drug Overdose Deaths Involving Opioids and Any Stimulant, Opioids and Any Stimulant,5,Count
2016,Anderson,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines, All Opioids and Benzodiazepines,9,Count
2016,Anderson,County,All Drug Overdose Deaths,All Drug Overdose Deaths,31,Count
2016,Anderson,County,Drug Overdose Deaths Involving Psychostimulants with Abuse Potential (Including Methamphetamine), Psychostimulants with Abuse Potential (Including Methamphetamine),6,Count
2016,Anderson,County,Drug Overdose Deaths Involving All Stimulants, All Stimulants,,Rate
2016,Anderson,County,Drug Overdose Deaths Involving Benzodiazepines, Benzodiazepines,14,Rate
2016,Anderson,County,Drug Overdose Deaths Involving Cocaine, Cocaine,0,Rate
2016,Anderson,County,Drug Overdose Deaths Involving Fentanyl, Fentanyl,,Rate
2016,Anderson,County,Drug Overdose Deaths Involving Heroin, Heroin,,Rate
2016,Anderson,County,Drug Overdose Deaths Involving Prescription Opioids, Prescription Opioids,25,Rate
2016,Anderson,County,Drug Overdose Deaths Involving All Opioids, All Opioids,35,Rate
2016,Anderson,County,Drug Overdose Deaths Involving Opioids and Any Stimulant, Opioids and Any Stimulant,,Rate
2016,Anderson,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines, All Opioids and Benzodiazepines,,Rate
2016,Anderson,County,All Drug Overdose Deaths,All Drug Overdose Deaths,41,Rate
2016,Anderson,County,Drug Overdose Deaths Involving Psychostimulants with Abuse Potential (Including Methamphetamine), Psychostimulants with Abuse Potential (Including Methamphetamine),,Rate
2016,Bedford,County,Drug Overdose Deaths Involving All Stimulants, All Stimulants,0,Count
2016,Bedford,County,Drug Overdose Deaths Involving Benzodiazepines, Benzodiazepines,3,Count
2016,Bedford,County,Drug Overdose Deaths Involving Cocaine, Cocaine,0,Count
2016,Bedford,County,Drug Overdose Deaths Involving Fentanyl, Fentanyl,0,Count
2016,Bedford,County,Drug Overdose Deaths Involving Heroin, Heroin,0,Count
2016,Bedford,County,Drug Overdose Deaths Involving Prescription Opioids, Prescription Opioids,1,Count
2016,Bedford,County,Drug Overdose Deaths Involving All Opioids, All Opioids,1,Count
2016,Bedford,County,Drug Overdose Deaths Involving Opioids and Any Stimulant, Opioids and Any Stimulant,,Count
2016,Bedford,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines, All Opioids and Benzodiazepines,1,Count
2016,Bedford,County,All Drug Overdose Deaths,All Drug Overdose Deaths,5,Count
2016,Bedford,County,Drug Overdose Deaths Involving Psychostimulants with Abuse Potential (Including Methamphetamine), Psychostimulants with Abuse Potential (Including Methamphetamine),0,Count
2016,Bedford,County,Drug Overdose Deaths Involving All Stimulants, All Stimulants,0,Rate
2016,Bedford,County,Drug Overdose Deaths Involving Benzodiazepines, Benzodiazepines,,Rate
2016,Bedford,County,Drug Overdose Deaths Involving Cocaine, Cocaine,0,Rate
2016,Bedford,County,Drug Overdose Deaths Involving Fentanyl, Fentanyl,0,Rate
2016,Bedford,County,Drug Overdose Deaths Involving Heroin, Heroin,0,Rate
