,full_year,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,AGEGRP
0,NaN,Anderson County,75129,36308,38821,0
19,NaN,Anderson County,75082,36280,38802,0
38,2010,Anderson County,75098,36284,38814,0
57,2011,Anderson County,75209,36396,38813,0
76,2012,Anderson County,75225,36448,38777,0
95,2013,Anderson County,75299,36516,38783,0
114,2014,Anderson County,75157,36496,38661,0
133,2015,Anderson County,75456,36684,38772,0
152,2016,Anderson County,75528,36763,38765,0
171,2017,Anderson County,76056,37036,39020,0
190,2018,Anderson County,76287,37131,39156,0
209,2019,Anderson County,76978,37510,39468,0
228,NaN,Bedford County,45058,22357,22701,0
247,NaN,Bedford County,45057,22357,22700,0
266,2010,Bedford County,45078,22361,22717,0
285,2011,Bedford County,45247,22370,22877,0
304,2012,Bedford County,45254,22375,22879,0
323,2013,Bedford County,45565,22433,23132,0
342,2014,Bedford County,46251,22739,23512,0
361,2015,Bedford County,46948,23055,23893,0
380,2016,Bedford County,47442,23271,24171,0
399,2017,Bedford County,48211,23690,24521,0
418,2018,Bedford County,49146,24156,24990,0
437,2019,Bedford County,49713,24514,25199,0
456,NaN,Benton County,16489,8073,8416,0
475,NaN,Benton County,16491,8074,8417,0
494,2010,Benton County,16511,8084,8427,0
513,2011,Benton County,16529,8138,8391,0
532,2012,Benton County,16445,8078,8367,0
551,2013,Benton County,16360,8044,8316,0
570,2014,Benton County,16197,8009,8188,0
589,2015,Benton County,16220,7975,8245,0
608,2016,Benton County,16082,7892,8190,0
627,2017,Benton County,15993,7843,8150,0
646,2018,Benton County,16246,7967,8279,0
665,2019,Benton County,16160,7904,8256,0
684,NaN,Bledsoe County,12876,6964,5912,0
703,NaN,Bledsoe County,12874,6963,5911,0
722,2010,Bledsoe County,12884,6970,5914,0
741,2011,Bledsoe County,12992,7049,5943,0
760,2012,Bledsoe County,12926,7018,5908,0
779,2013,Bledsoe County,13910,8012,5898,0
798,2014,Bledsoe County,14501,8617,5884,0
817,2015,Bledsoe County,14601,8631,5970,0
836,2016,Bledsoe County,14738,8651,6087,0
855,2017,Bledsoe County,14895,8832,6063,0
874,2018,Bledsoe County,14883,8827,6056,0
893,2019,Bledsoe County,15064,8965,6099,0
912,NaN,Blount County,123010,59559,63451,0
931,NaN,Blount County,123098,59595,63503,0
950,2010,Blount County,123199,59644,63555,0
969,2011,Blount County,123664,59860,63804,0
988,2012,Blount County,124024,60156,63868,0
1007,2013,Blount County,124874,60553,64321,0
1026,2014,Blount County,125847,61092,64755,0
1045,2015,Blount County,126954,61658,65296,0
1064,2016,Blount County,128264,62233,66031,0
1083,2017,Blount County,129999,63118,66881,0
1102,2018,Blount County,131331,63816,67515,0
1121,2019,Blount County,133088,64662,68426,0
1140,NaN,Bradley County,98963,48176,50787,0
1159,NaN,Bradley County,98926,48157,50769,0
1178,2010,Bradley County,99083,48217,50866,0
1197,2011,Bradley County,99798,48554,51244,0
1216,2012,Bradley County,101049,49227,51822,0
1235,2013,Bradley County,101778,49514,52264,0
1254,2014,Bradley County,102771,50005,52766,0
1273,2015,Bradley County,103774,50493,53281,0
1292,2016,Bradley County,104390,50800,53590,0
1311,2017,Bradley County,105421,51305,54116,0
1330,2018,Bradley County,107050,52127,54923,0
1349,2019,Bradley County,108110,52602,55508,0
1368,NaN,Campbell County,40716,19861,20855,0
1387,NaN,Campbell County,40723,19864,20859,0
1406,2010,Campbell County,40735,19865,20870,0
1425,2011,Campbell County,40688,19835,20853,0
1444,2012,Campbell County,40532,19733,20799,0
1463,2013,Campbell County,40247,19614,20633,0
1482,2014,Campbell County,39893,19509,20384,0
1501,2015,Campbell County,39772,19434,20338,0
1520,2016,Campbell County,39784,19506,20278,0
1539,2017,Campbell County,39791,19545,20246,0
1558,2018,Campbell County,39795,19580,20215,0
1577,2019,Campbell County,39842,19572,20270,0
1596,NaN,Cannon County,13801,6831,6970,0
1615,NaN,Cannon County,13813,6837,6976,0
1634,2010,Cannon County,13797,6823,6974,0
1653,2011,Cannon County,13724,6773,6951,0
1672,2012,Cannon County,13789,6842,6947,0
1691,2013,Cannon County,13700,6775,6925,0
1710,2014,Cannon County,13572,6737,6835,0
1729,2015,Cannon County,13740,6811,6929,0
1748,2016,Cannon County,13876,6865,7011,0
1767,2017,Cannon County,14157,7036,7121,0
1786,2018,Cannon County,14440,7171,7269,0
1805,2019,Cannon County,14678,7313,7365,0
1824,NaN,Carroll County,28522,13776,14746,0
1843,NaN,Carroll County,28486,13758,14728,0
1862,2010,Carroll County,28454,13746,14708,0
1881,2011,Carroll County,28547,13798,14749,0
1900,2012,Carroll County,28667,13910,14757,0
1919,2013,Carroll County,28606,13955,14651,0
1938,2014,Carroll County,28411,13854,14557,0
1957,2015,Carroll County,27982,13596,14386,0
1976,2016,Carroll County,27901,13557,14344,0
1995,2017,Carroll County,27807,13569,14238,0
2014,2018,Carroll County,27975,13674,14301,0
2033,2019,Carroll County,27767,13589,14178,0
2052,NaN,Carter County,57424,28097,29327,0
2071,NaN,Carter County,57383,28076,29307,0
2090,2010,Carter County,57342,28072,29270,0
2109,2011,Carter County,57385,28040,29345,0
2128,2012,Carter County,57347,28063,29284,0
2147,2013,Carter County,56978,27884,29094,0
2166,2014,Carter County,56325,27677,28648,0
2185,2015,Carter County,56375,27654,28721,0
2204,2016,Carter County,56473,27669,28804,0
2223,2017,Carter County,56510,27656,28854,0
2242,2018,Carter County,56417,27638,28779,0
2261,2019,Carter County,56391,27702,28689,0
2280,NaN,Cheatham County,39105,19535,19570,0
2299,NaN,Cheatham County,39110,19534,19576,0
2318,2010,Cheatham County,39131,19531,19600,0
2337,2011,Cheatham County,38986,19450,19536,0
2356,2012,Cheatham County,39231,19563,19668,0
2375,2013,Cheatham County,39340,19572,19768,0
2394,2014,Cheatham County,39610,19712,19898,0
2413,2015,Cheatham County,39593,19740,19853,0
2432,2016,Cheatham County,39775,19745,20030,0
2451,2017,Cheatham County,40366,20064,20302,0
2470,2018,Cheatham County,40502,20153,20349,0
2489,2019,Cheatham County,40667,20145,20522,0
2508,NaN,Chester County,17131,8273,8858,0
2527,NaN,Chester County,17145,8278,8867,0
2546,2010,Chester County,17194,8295,8899,0
2565,2011,Chester County,17150,8270,8880,0
2584,2012,Chester County,17076,8235,8841,0
2603,2013,Chester County,17116,8242,8874,0
2622,2014,Chester County,17136,8234,8902,0
2641,2015,Chester County,17123,8240,8883,0
2660,2016,Chester County,17130,8241,8889,0
2679,2017,Chester County,17154,8259,8895,0
2698,2018,Chester County,17245,8284,8961,0
2717,2019,Chester County,17297,8294,9003,0
2736,NaN,Claiborne County,32213,15779,16434,0
2755,NaN,Claiborne County,32212,15776,16436,0
2774,2010,Claiborne County,32215,15776,16439,0
2793,2011,Claiborne County,32106,15681,16425,0
2812,2012,Claiborne County,31763,15502,16261,0
2831,2013,Claiborne County,31627,15439,16188,0
2850,2014,Claiborne County,31571,15427,16144,0
2869,2015,Claiborne County,31555,15380,16175,0
2888,2016,Claiborne County,31634,15452,16182,0
2907,2017,Claiborne County,31661,15470,16191,0
2926,2018,Claiborne County,31850,15596,16254,0
2945,2019,Claiborne County,31959,15666,16293,0
2964,NaN,Clay County,7861,3897,3964,0
2983,NaN,Clay County,7853,3895,3958,0
3002,2010,Clay County,7844,3881,3963,0
3021,2011,Clay County,7741,3819,3922,0
3040,2012,Clay County,7702,3794,3908,0
3059,2013,Clay County,7688,3773,3915,0
3078,2014,Clay County,7620,3742,3878,0
3097,2015,Clay County,7663,3775,3888,0
3116,2016,Clay County,7654,3759,3895,0
3135,2017,Clay County,7663,3770,3893,0
3154,2018,Clay County,7677,3759,3918,0
3173,2019,Clay County,7615,3735,3880,0
3192,NaN,Cocke County,35662,17308,18354,0
3211,NaN,Cocke County,35642,17295,18347,0
3230,2010,Cocke County,35640,17292,18348,0
3249,2011,Cocke County,35432,17179,18253,0
3268,2012,Cocke County,35530,17200,18330,0
3287,2013,Cocke County,35400,17182,18218,0
3306,2014,Cocke County,35266,17024,18242,0
3325,2015,Cocke County,35138,16970,18168,0
3344,2016,Cocke County,35234,17050,18184,0
3363,2017,Cocke County,35528,17217,18311,0
3382,2018,Cocke County,35858,17385,18473,0
3401,2019,Cocke County,36004,17462,18542,0
3420,NaN,Coffee County,52796,25655,27141,0
3439,NaN,Coffee County,52803,25660,27143,0
3458,2010,Coffee County,52770,25652,27118,0
3477,2011,Coffee County,52920,25749,27171,0
3496,2012,Coffee County,53147,25847,27300,0
3515,2013,Coffee County,53298,25965,27333,0
3534,2014,Coffee County,53524,26156,27368,0
3553,2015,Coffee County,54093,26409,27684,0
3572,2016,Coffee County,54537,26651,27886,0
3591,2017,Coffee County,55016,26897,28119,0
3610,2018,Coffee County,55877,27306,28571,0
3629,2019,Coffee County,56520,27579,28941,0
3648,NaN,Crockett County,14586,6997,7589,0
3667,NaN,Crockett County,14576,6992,7584,0
3686,2010,Crockett County,14588,6994,7594,0
3705,2011,Crockett County,14560,6966,7594,0
3724,2012,Crockett County,14610,6971,7639,0
3743,2013,Crockett County,14610,6938,7672,0
